FireYear,Human,Lightning,Human Longitude,Lightning Longitude
2000,16060.46,97278.51,-122.56573160949867,-120.7534346625767
2001,9746.789999999999,66247.44,-122.53875450124688,-121.29470817248459
2002,7470.37,1251026.2,-122.69914532796317,-121.0313591503268
2003,14654.94,108736.48,-122.72226742996347,-121.29258582386365
2004,6182.56,236.42000000000002,-122.70238945701358,-120.55485930232558
2005,11565.14,59689.17,-122.52532185979972,-121.023161484375
2006,1696.6299999999999,118680.91,-122.75298180293501,-120.74881157216495
2007,52357.36,319260.37,-122.59471299428571,-120.87391417582418
2008,2791.76,14426.03,-122.72095307801419,-121.47944475195823
2009,14855.44,50844.35,-122.66473869064748,-121.15268284745763
2010,8450.98,9564.91,-122.47814574642126,-121.0646362745098
2011,10924.369999999999,7374.349999999999,-122.4604233580705,-120.8084335625
2012,1032.86,219780.06,-122.62325958904111,-120.74933847619047
2013,3873.12,124433.83,-122.71941994020926,-121.33568655642023
2014,32204.66,254727.45,-122.65337045454545,-121.01915731884057
2015,57975.29,328149.20999999996,-122.72912379825654,-121.0710001098901
2016,6221.33,2572.03,-122.77380976221929,-120.74283364864864
2017,172363.38999999998,321031.76,-122.73913994936709,-121.48210778156995
2018,75633.02,327147.99,-122.66981179977503,-121.51214654545454
2019,15735.54,1511.78,-122.7987333653846,-121.15695093425606
2020,779826.89,237367.05000000002,-122.69616276885044,-120.10323629411764
2021,58701.97,525803.0,-122.78797799131378,-121.35459990476191
2022,12638.31,196254.01,-122.90331693693693,-121.40274314814815
