FireYear,Human,Lightning
2000,16060.46,97278.51
2001,9746.789999999999,66247.44
2002,7470.37,1251026.2
2003,14654.94,108736.48
2004,6182.56,236.42000000000002
2005,11565.14,59689.17
2006,1696.6299999999999,118680.91
2007,52357.36,319260.37
2008,2791.76,14426.03
2009,14855.44,50844.35
2010,8450.98,9564.91
2011,10924.369999999999,7374.349999999999
2012,1032.86,219780.06
2013,3873.12,124433.83
2014,32204.66,254727.45
2015,57975.29,328149.20999999996
2016,6221.33,2572.03
2017,172363.38999999998,321031.76
2018,75633.02,327147.99
2019,15735.54,1511.78
2020,779826.89,237367.05000000002
2021,58701.97,525803.0
2022,12638.31,196254.01
